Title;Authors;IMSDb Page;IMSDb Script Page
Brazil;Terry Gilliam,Charles McKeown;/Movie Scripts/Brazil Script.html;/scripts/Brazil.html
Break;Oliver Stone;/Movie Scripts/Break Script.html;/scripts/Break.html
Breakdown;Jonathan Mostow;/Movie Scripts/Breakdown Script.html;/scripts/Breakdown.html
Breakfast Club, The;John Hughes;/Movie Scripts/Breakfast Club, The Script.html;/scripts/Breakfast-Club,-The.html
Breaking Away;Steve Tesich;/Movie Scripts/Breaking Away Script.html;/scripts/Breaking-Away.html
Brick;Rian Johnson;/Movie Scripts/Brick Script.html;/scripts/Brick.html
Bridesmaids;Annie Mumolo;/Movie Scripts/Bridesmaids Script.html;/scripts/Bridesmaids.html
Bringing Out the Dead;Paul Schrader;/Movie Scripts/Bringing Out the Dead Script.html;/scripts/Bringing-Out-the-Dead.html
Broadcast News;James L. Brooks;/Movie Scripts/Broadcast News Script.html;/scripts/Broadcast-News.html
Broken Arrow;Graham Yost;/Movie Scripts/Broken Arrow Script.html;/scripts/Broken-Arrow.html
Broken Embraces;Pedro Almodovar;/Movie Scripts/Broken Embraces Script.html;/scripts/Broken-Embraces.html
Brothers Bloom, The;Rian Johnson;/Movie Scripts/Brothers Bloom, The Script.html;/scripts/Brothers-Bloom,-The.html
Bruce Almighty;Steve Koren,Mark O'Keefe,Steve Oedekerk;/Movie Scripts/Bruce Almighty Script.html;/scripts/Bruce-Almighty.html
Buffy the Vampire Slayer;Joss Whedon;/Movie Scripts/Buffy the Vampire Slayer Script.html;/scripts/Buffy-the-Vampire-Slayer.html
Bull Durham;Ron Shelton;/Movie Scripts/Bull Durham Script.html;/scripts/Bull-Durham.html
Buried;Chris Sparling;/Movie Scripts/Buried Script.html;/scripts/Buried.html
Burlesque;Steven Antin;/Movie Scripts/Burlesque Script.html;/scripts/Burlesque.html
Burn After Reading;Joel Coen,Ethan Coen;/Movie Scripts/Burn After Reading Script.html;/scripts/Burn-After-Reading.html
Burning Annie;Zack Ordynans;/Movie Scripts/Burning Annie Script.html;/scripts/Burning-Annie.html
Butterfly Effect, The;J. Mackye Gruber,Eric Bress;/Movie Scripts/Butterfly Effect, The Script.html;/scripts/Butterfly-Effect,-The.html
Cable Guy;Lou Holtz Jr.,Judd Apatow;/Movie Scripts/Cable Guy Script.html;/scripts/Cable-Guy.html
Candle to Water;Nick Green;/Movie Scripts/Candle to Water Script.html;/scripts/Candle-to-Water.html
Capote;Dan Futterman;/Movie Scripts/Capote Script.html;/scripts/Capote.html
Carrie;Lawrence D. Cohen,Stephen King;/Movie Scripts/Carrie Script.html;/scripts/Carrie.html
Cars 2;Ben Queen;/Movie Scripts/Cars 2 Script.html;/scripts/Cars-2.html
Case 39;Ray Wright;/Movie Scripts/Case 39 Script.html;/scripts/Case-39.html
Casino;Nicholas Pileggi,Martin Scorsese;/Movie Scripts/Casino Script.html;/scripts/Casino.html
Cast Away;William Broyles Jr.;/Movie Scripts/Cast Away Script.html;/scripts/Cast-Away.html
Catch Me If You Can;Jeff Nathanson;/Movie Scripts/Catch Me If You Can Script.html;/scripts/Catch-Me-If-You-Can.html
Catwoman;Daniel Waters;/Movie Scripts/Catwoman Script.html;/scripts/Catwoman.html
Cecil B. Demented;John Waters;/Movie Scripts/Cecil B. Demented Script.html;/scripts/Cecil-B.-Demented.html
